ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,2.2384,3,2.6818,1.7261,1.3409,0.3852,0.2872,1.3409,0.7703,1.2252,1.2252,0.8853,0.8853,1.2252,1.2252,1.1981
3,14.2731,6,20.0557,6.0541,3.5004,1.5567,0.4447,4.0111,0.6616,1.0923,2.8546,23.0946,45.7653,1.0407,2.8546,1.4051
5,1.8550,7,17.3621,4.0201,2.8937,0.6608,0.2284,2.8937,0.0395,0.9153,2.1237,4.3833,14.4156,0.9153,2.1237,9.3594
6,28.1463,11,42.2595,6.1816,4.2259,1.5773,0.3732,4.2259,0.0977,0.9327,2.4194,7.6557,38.9146,0.9327,2.4194,1.5014
8,16.0367,3,20.2340,11.7920,10.1170,1.6750,0.1656,10.1170,3.3500,1.3332,1.3332,6.5773,6.5773,1.3332,1.3332,1.2617
9,5.2415,10,43.0537,12.0785,4.7837,3.2594,0.6814,4.7837,0.4954,1.3944,2.8979,9.7751,24.2156,1.3944,2.8979,8.2140
11,11.2494,11,47.7863,13.0308,4.7786,3.5243,0.7375,4.7786,0.0065,1.0314,2.3837,4.8627,10.9251,1.0314,2.3837,4.2479
12,18.8027,3,18.9495,13.6218,9.4747,4.1471,0.4377,9.4747,8.2941,0.2773,0.2773,15.7494,15.7494,0.2773,0.2773,1.0078
13,15.4544,8,34.0368,14.2255,4.8624,4.1730,0.8582,4.8624,1.9348,2.1005,2.9545,10.4740,42.1348,2.1005,2.9545,2.2024
16,21.1276,3,21.1574,12.5814,10.5787,2.0027,0.1893,10.5787,4.0054,0.1080,0.1080,19.2860,19.2860,0.1080,0.1080,1.0014
